Artist,Song Name,Author of Custom (CLICK HERE TO FIND THE FILES)
1.O.M.,"As Above, So Below",Moochalacho
1.O.M. ,CHARGE,Moochalacho
1.O.M. ,Zero Hour,Moochalacho
1.O.M. ,The Breach,Moochalacho
1.O.M. ,Overrun,Moochalacho
1.O.M. ,Challenger (ft. Krank'it Critch),Moochalacho
1.O.M. ,LXC (ft. Ryan Orion),Moochalacho
1.O.M. ,Adrift,Moochalacho
1.O.M. ,"Farewell, Traveler",Moochalacho
1.O.M. ,Odyssey,Moochalacho
1.O.M. ,Apex,Moochalacho
311,Applied Science (Live),TheLieInKing
66Samus,Take On Me [A-ha],Moochalacho
66Samus,Coincidance [James Manzello],Moochalacho
66Samus,Tequila [The Champs],Moochalacho
66Samus ,Modern Drummer Fest Solo (2020),Moochalacho 
66Samus ,Black Lotus [Andy Gillion],Confury
66Samus ,Demolisher [Slaughter to Prevail],Moochalacho
66Samus ,The Dance of Eternity [Dream Theater],Grinnz
7for4 ,Cyclotron,TheCourtofAPorcupine 
A Million Dead Birds Laughing,Umbilical Dystrophy,Xane60
Abated Mass Of Flesh,Choked,Xane60
Abiogenesis,Visualize ,SoundHaven
Abiotic,Facades,SoundHaven
Abiotic,The Wrath,YaBoiBenimaru
Abiotic ,Ikigai,YaBoiBenimaru
Abiotic ,If I Do Die (ft. Brandon Ellis),YaBoiBenimaru
Abiotic ,Horadric Cube (ft. Scott Carstairs),YaBoiBenimaru
Abiotic ,Her Opus Mangled (ft. Jared Smith),YaBoiBenimaru
Abiotic ,Gyokusai,YaBoiBenimaru
Abiotic ,"Grief Eater, Tear Drinker (ft. Jonathan Carpenter)",YaBoiBenimaru
Abiotic ,Covered the Cold Earth,YaBoiBenimaru
Abiotic ,Souvenir of Skin (ft. Trevor Strnad),YaBoiBenimaru
Abiotic ,Smoldered (ft. Chaney Crabb),YaBoiBenimaru
Abiotic ,Mutation,YaBoiBenimaru
Abnormality,Visions,Onyxite
Abnormality,Mechanisms Of Omniscience,Xane60
Abominable Putridity,A Massacre In The North,Xane60
Aborted,Bit By Bit (Ken Bedene Drum Playthrough),SoundHaven
Aborted,Vespertine Decay,RhythMassacre
Aborted ,Impetus Odi (Ken Bedene Drum Playthrough),TheCourtofAPorcupine 
Absu,Pillars Of Mercy,Inventor211 
Abysmal Dawn,Perfecting Slavery,LillianOfficial 
Abysmal Dawn,Human Obsolescence,LillianOfficial 
Abysmal Dawn,Soul-Sick Nation,LillianOfficial 
Abysmal Dawn ,Inanimate,LillianOfficial 
Acrania,Exterminate The Liberated,SoundHaven
Acrania,"Lobotomise, Dehumanise, Negate",SoundHaven
Acrania,Disillusion in a Discordant System,Moochalacho
Adagio,Chosen,Xane60
Adam Bjork,Faint [Linkin Park],SoundHaven
Adam Bjork,Whore to a Chainsaw [Thy Art Is Murder],SoundHaven
Adam Bjork,The Breeding Process [Aversions Crown] ,SoundHaven
Adam Bjork,Purgatory [Despised Icon] ,SoundHaven
Adam Bjork,Remote Tumour Seeker [Archspire] ,SoundHaven
Adam Bjork,Nightcrawler [Signs of the Swarm],Moochalacho
Adam Gray,Rap God [Eminem],SoundHaven
Adrenaline Mob ,Undaunted,Boo
AEON,Kill Them All,MikeCaputoDrums
AEON ,Forgiveness Denied,MikeCaputoDrums
Aethereus,Son of a Nameless Father,YaBoiBenimaru
After The Burial,The Fractal Effect,SoundHaven
After The Burial,Lost In The Static,SoundHaven
After The Burial,Virga,SoundHaven
After The Burial,Ometh,SoundHaven
After The Burial ,Drifts,Xane60
After the Burial ,Your Troubles Will Cease and Fortune Will Smile Upon You,Inventor211
Agent Fresco,Dark Water,Boo
Agoron,The God Machine,Xane60
AISHA ,The Disaster of Passion,YaBoiBenimaru
Alex Micklewright,Demean [Nervecell],Xane60
Alex Rudinger,Cause for Concern [Evan Brewer],SoundHaven
Alex Rudinger,Storm [Kaz Rodriguez] ,SoundHaven
Alex Rudinger,7 Mindgames [Kaz Rodriguez] ,Confury
Alex Rudinger,Addictive [Kaz Rodriguez] (2017),Confury
Alex Rudinger,Gravity And Fiction [Jake Bowen],Confury
Alex Rudinger,Say What You Say [Eminem],Confury
Alex Rudinger,Shift [Kaz Rodriguez] ,Confury
Alex Rudinger,Productable [Jake Bowen],Confury
Alex Rudinger,The March [7Horns7Eyes],Confury
Alex Rudinger,Silent Senate (Demo) [Ordinance],TheCourtofaPorcupine
Alex Rudinger,Addictive [Kaz Rodriguez] (2019),SoundHaven
Alex Rudinger,Mario Kart Jam [Kenta Nagata],Confury
Alex Rudinger,Converter [Mega Drive] ,Confury
Alex Rudinger,Let The Groove Get In [Justin Timberlake],Confury
Alex Rudinger,Let Me Down [Oliver Tree],Confury
Alex Rudinger,Disposition [Threat Signal],SoundHaven
Alex Rudinger,When a Demon Defiles a Witch [Whitechapel],Inventor211 
Alex Rudinger,Show Theme Mash-Up,Confury
Alex Rüdinger,An Infinite Regression [Animals As Leaders],TheCourtofaPorcupine
Alex Rüdinger,Tempting Time [Animals As Leaders],TheCourtofaPorcupine
Alex Rüdinger,Do Not Go Gently [Animals As Leaders],TheCourtofaPorcupine
Alex Rüdinger,Isolated Incidents [Animals As Leaders],TheCourtofaPorcupine
Alex Rudinger ,Lashed To the Slave Stick [Nile],Confury
Alex Rudinger ,Another World [Evan Brewer],Confury
Alex Rudinger ,Bombing Mission [Erik Grimell],Confury
Alex Rudinger ,Stabwound [Necrophagist],Confury
Alex Rudinger ,Nil By Mouth [Haken],Confury
Alex Rüdinger ,Cylindrical Sea [Animals As Leaders],TheCourtofaPorcupine
Alex Rüdinger ,Isolated Incidents [Animals As Leaders],TheCourtofaPorcupine
Alex Skolnick Trio,Tom Sawyer [Rush],Onyxite
Alien Ant Farm,Smooth Criminal ,Onyxite
Alkaloid,Interstellar Boredom,LillianOfficial 
Alkaloid,Chaos Theory and Practice,LillianOfficial 
All Shall Perish,There Is No Business To Be Done On A Dead Planet,SoundHaven
All Shall Perish,Stabbing To Purge Dissimulation,SoundHaven
All Shall Perish,In This Life Of Pain,Xane60
All Shall Perish ,Rebirth,Xane60
All That Remains,Chiron,Grinnz
All That Remains,This Calling,Grinnz
All That Remains,Not Alone,Inventor211 
All That Remains,Six,Xane60
All That Remains,Two Weeks,Xane60
All That Remains ,The Weak Willed,TheCourtofaPorcupine
All That Remains ,Empty Inside,Xane60 
All That Remains ,Become The Catalyst,Xane60
All That Remains ,Undone,Xane60
All That Remains ,For We Are Many,Xane60
Allegaeon,Roundabout [Yes],Onyxite
Alpha Wolf,No Name/Spirit Breaker,SoundHaven
Alpha Wolf,Sub-Zero & The Lonely Bones,SoundHaven
Alpha Wolf,Russian Roulette/Fault,SoundHaven
Alpha Wolf,Creep,SoundHaven
Alpha Wolf,Restricted (R18+),SoundHaven
Alpha Wolf ,Fault (Full Album) ,SoundHaven
Alpha Wolf ,Akudama ,SoundHaven
Alpha Wolf ,Bleed 4 You (feat. Lizi Blanco) ,SoundHaven
Alpha Wolf ,Black Mamba,SoundHaven
Alpha Wolf ,Acid Romance,SoundHaven
Alpha Wolf ,Golden Fate: Isolate,SoundHaven
Alpha Wolf ,A Quiet Place to Die,SoundHaven
Alpha Wolf ,Don't Ask,SoundHaven
Alpha Wolf ,The Mind Bends to a Will of It's Own,SoundHaven
Alpha Wolf ,Ultra-Violet Violence,SoundHaven
Alpha Wolf ,Rot in Pieces,SoundHaven
Alter Bridge ,Ties That Bind,Boo
Alterbeast ,The Maggots Ascension,SoundHaven
Alterbeast ,Apex Night Eclipse,SoundHaven
Alterbeast ,Welcome to Your Doom,SoundHaven
Alustrium ,The Illusion of Choice,Boo
Alustrium ,Fated to Despair,Boo
Alustrium ,Join the Dead,Boo
Amarionette ,Amnesia,Boo
Amarionette ,Baddest,Boo
Amon Amarth,Twilight of the Thunder God,Inventor211 
An Endless Sporadic,Sun of Pearl,Onyxite
An Endless Sporadic,Anything,Inventor211 
An Endless Sporadic ,Sun of Pearl [2020],Inventor211
Anachronism,Endotherm,LillianOfficial 
Analepsy,Depths Of Agony,Xane60
Analepsy,The Vermin Devourer,Xane60
Andrea Vadrucci (Vadrum),Drum Intro Medley,SoundHaven
Andrea Vadrucci (Vadrum),Hungarian Dance,SoundHaven
Andrea Vadrucci (Vadrum),Infernal Galop,SoundHaven
Andrea Vadrucci (Vadrum),Super Mario Bros,SoundHaven
Andrea Vadrucci (Vadrum),Super Mario Bros 2,SoundHaven
Andrea Vadrucci (Vadrum),Super Mario Bros 3,SoundHaven
Andrea Vadrucci (Vadrum),The Barber Of Seville,SoundHaven
Andrea Vadrucci (Vadrum),The Marriage Of Figaro,SoundHaven
Andrea Vadrucci (Vadrum),William Tell,SoundHaven
Andrea Vadrucci (Vadrum),Summer,Onyxite
Andrea Vadrucci (Vadrum),Flight of the Bumblebee,Onyxite
Andrea Vadrucci (Vadrum) ,Waltz Of the Flowers,Onyxite
Andrea Vadrucci (Vadrum) ,Pizzicati,Onyxite
Andromeda,Veil Of Illumination,Onyxite
Andromeda,Chameleon Carneval,Onyxite
Andromeda,False Flag,LillianOfficial 
Andromeda,Another Step,Onyxite
Andromeda,Morphing Into Nothing ,Moochalacho
AndyTHPS,Foreplay/Longtime [Boston],Inventor211 
AngelMaker,I Long For Rest,Moochalacho
Angerseed,The Ultimate Burden (Eugene Ryabchenko Drum Playthough),Xane60
Angra,Acid Rain,Xane60
Angra,Angels And Demons,Xane60
Angra,Angels Cry,Xane60
Angra,Arising Thunder,Xane60
Angra,Awake From Darkness,Xane60
Angra,Black Hearted Soul,Xane60
Angra,Black Widow's Web (Bruno Valverde Drum Playthrough),Xane60
Angra,Final Light (Bruno Valverde Drum Playthrough),Xane60
Angra,Insania (Bruno Valverde Drum Playthrough),Xane60
Angra,Judgement Day,Xane60
Angra,Light Of Transcendence,Xane60
Angra,Live And Learn (Aquiles Priester Drum Playthrough),Xane60
Angra,Magic Mirror (Bruno Valverde Drum Playthrough) ,Xane60
Angra,Morning Star,Xane60
Angra,Newborn Me,Xane60
Angra,Nothing To Say,Xane60
Angra,Nova Era,Xane60
Angra,ØMNI - Silence Inside,Xane60
Angra,Perfect Symmetry (Bruno Valverde Drum Playthrough),Xane60
Angra,Running Alone,Xane60
Angra,Salvation Suicide,Xane60
Angra,Spread Your Fire,Xane60
Angra,Sprouts Of Time,Xane60
Angra,The Course of Nature,Xane60
Angra,The Rage Of The Waters,Xane60
Angra,The Shadow Hunter (Aquiles Priester Drum Playthrough) ,Xane60
Angra,The Temple Of Hate (Aquiles Priester Drum Playthrough),Xane60
Angra,The Voice Commanding You ,Xane60
Angra,Travelers Of Time,Xane60
Angra,Unholy Wars,Xane60
Angra,Upper Levels (Bruno Valverde Drum Playthrough),Xane60
Angra,Violet Sky (Bruno Valverde Drum Playthrough) ,Xane60
Angra,Waiting Silence,Xane60
Angra,War Horns,Xane60
Angra,Window To Nowhere,Xane60
Angra,Winds Of Destination (Aquiles Priester Drum Playthrough),Xane60
Angra,Z.I.T.O (2018 Version) ,Xane60
Anika Nilles,Queenz,Grinnz
Anika Nilles,Alter Ego,Grinnz
Animals as Leaders,Arithmophobia,SoundHaven
Animals as Leaders,CAFO,SoundHaven
Animals as Leaders,Para Mexer (Matt Gartska Drum Playthrough) ,SoundHaven
Animals as Leaders,CAFO (Live From Las Vegas),SoundHaven
Animals as Leaders,Song of Solomon,Xane60
Animals as Leaders,Ka$cade,Confury
Animals as Leaders,The Woven Web,Confury
Animals as Leaders ,Backpfeifengesicht,SoundHaven
Animals as Leaders ,Brain Dance,SoundHaven
Animals as Leaders ,Ectogenesis,SoundHaven
Animals as Leaders ,Inner Assassins (Matt Gartska Drum Playthrough) ,SoundHaven
Animals as Leaders ,Private Visions Of The World,SoundHaven
Animals as Leaders ,Cognitive Contortions,SoundHaven
Animals as Leaders ,Monomyth,SoundHaven
Animals as Leaders ,The Problem of Other Minds,SoundHaven
Animals as Leaders ,Transcentience,Onyxite
Animals as Leaders ,The Glass Bridge,Onyxite
Animals as Leaders ,Lippincott ,Confury
Animals as Leaders ,Air Chrysalis,Confury
Animals as Leaders ,Another Year,Confury
Animals as Leaders ,Physical Education,Confury
Animals as Leaders ,Tooth and Claw,Confury
Animals as Leaders ,Crescent,Confury
Animals as Leaders ,The Future That Awaited Me ,Confury
Animals as Leaders ,Para Mexer,Confury
Animals as Leaders ,Mind-Spun,Confury
Animals as Leaders ,Nephele ,Confury
Animals as Leaders ,Gordian Naught,SoundHaven
Animals as Leaders ,Red Miso,SoundHaven
Animals as Leaders ,Micro Aggressions,SoundHaven
Animals as Leaders ,Conflict Cartography,SoundHaven
Animals as Leaders ,Thoughts and Prayers,SoundHaven
Animals as Leaders ,Gestaltzerfall,SoundHaven
Animation Sequence,Entropy,MikeCaputoDrums
Animation Sequence,Spiritual Beings,MikeCaputoDrums
Animation Sequence,Lunar Elixir,MikeCaputoDrums
Animation Sequence,Astral Habitat,MikeCaputoDrums
Animation Sequence,Digital Shiver,MikeCaputoDrums
Animation Sequence,Biomorph,MikeCaputoDrums
Animation Sequence,New Earth Aura,MikeCaputoDrums
Animation Sequence ,Future Cities,SoundHaven
Anthony Barone,The Ills Of Modern Man [Despised Icon],SoundHaven
Anthrax,Caught In A Mosh,Onyxite
Antonio Sánchez,One for Antonio (feat. Chick Corea) ,Onyxite
Anup Sastry,Crystal,SoundHaven
Anup Sastry,Discovery,SoundHaven
Anup Sastry,Ghost,SoundHaven
Anup Sastry,Skywalk,SoundHaven
Anup Sastry,Thousands ,SoundHaven
Anup Sastry,Titan,SoundHaven
Anup Sastry,Beneath the Mask,Boo
Anup Sastry,Devil's Island [Architects],SoundHaven
Anup Sastry,Reindeer Age [Closure In Moscow],SoundHaven
Anup Sastry,Major Rager [Dead To Fall],SoundHaven
Anup Sastry,All That [Dillion Francis],Xane60
Anup Sastry ,Illuminate,Boo
Aquiles Priester,Inside Your Soul [Hangar],Xane60
Aquiles Priester,Symbolic [Death],Xane60
Aquiles Priester,Through The Fire And Flames [DragonForce] ,Inventor211 
Aquiles Priester,Valley of the Damned [DragonForce] ,Inventor211
Aquiles Priester,Ultimate Hangar Medley,Xane60
Aquiles Priester ,The Reason Of Your Conviction [Hangar],Xane60
Aquiles Priester ,Fight The System (Noturnall),Xane60
Aquiles Priester ,Man On A Mission (Gamma Ray),Xane60 
Aquiles Priester ,Demoniacal Possession (Old Man's Child),Xane60
Arch Echo,Mukduk,SoundHaven
Arch Echo ,Spark,SoundHaven
Arch Echo ,Immediate Results! ,Boo
Arch Echo ,Red Letter,SoundHaven
Arch Echo ,Strut (Richie Martinez Drum Playthrough),SoundHaven
Arch Enemy,Nemesis,Inventor211
Arch Enemy ,War Eternal,Inventor211
Arch Enemy ,As the Pages Burn,Inventor211
Arch Enemy ,"Deceiver, Deceiver",Xane60
Architects ,Doomsday ,Boo
Archspire,A Dark Horizontal,Xane60
Archspire,A Rapid Elemental Dissolve,Xane60
Archspire,Involuntary Doppelganger,Xane60
Archspire,Lucid Collective Somnambulation,Xane60
Archspire,Calamus Will Animate,Xane60
Archspire,Remote Tumour Seeker,Xane60
Archspire,Spontaneous Generation,Xane60
Archspire,Fathom Infinite Depth,Xane60
Archspire,Human Murmuration,SoundHaven
Archspire ,Golden Mouth Of Ruin,Xane60
Archspire ,Bleed The Future,Xane60
Archspire ,Drone Corpse Aviator,Xane60
Archspire ,Seven Crowns And The Oblivion Chain,Xane60
Archspire ,The Mimic Well,Xane60
Archspire ,Relentless Mutation,Xane60
Archspire ,The Plague Of AM,Xane60
Archspire ,Scream Feeding,Xane60
Archspire ,Kairos Chamber,Xane60
Archspire ,Join Us Beyond,Xane60
Archspire ,Abandon The Linear,Xane60
Archspire ,Reverie On The Onyx,Xane60
Archspire ,Drain Of Incarnation,Xane60
Archspire ,Acrid Canon,Xane60
Archspire ,A.U.M.,Xane60
Arctic Monkeys,Brianstorm,Inventor211 
Arkaik,Conjuring,Xane60
Arsis,We Are The Nightmare,Inventor211 
Arsis,Tricking The Gods,Inventor211 
Arsis,Overthrown,Xane60
Arsis,Failing Winds Of Hopeless Greed,Xane60
Arsis,Shattering The Spell,Xane60
Arsis ,The Face Of My Innocence (2013 Version),Xane60
Arsis ,Sightless Wisdom,Inventor211
Arsonists Get All The Girls ,Listen To The Color,Xane60
As Blood Runs Black,Hester Prynne,SoundHaven
As Blood Runs Black,Intro/In Dying Days/My Fears Have Become Phobias,Inventor211 
As Blood Runs Black,City Limits/Ground Zero,Inventor211 
As Blood Runs Black,Angel City Gamble,Xane60
As Blood Runs Black,Resist,Inventor211 
As Blood Runs Black,Airforce One (In Honor Demo feat. Jonny McBee) ,SoundHaven
As Blood Runs Black,Strife (Chug Chug),Inventor211 
As Blood Runs Black,Reborn,Inventor211 
As Blood Runs Black,Legends Never Die,Inventor211 
As Blood Runs Black,The Brighter Side Of Suffering,Inventor211 
As Blood Runs Black,Beneath The Surface,Inventor211 
As Blood Runs Black,King Of Thieves,Inventor211 
As Blood Runs Black,Divided,Inventor211
As Blood Runs Black,Triumph/Legacy,Inventor211
As Blood Runs Black,Vision,Inventor211
As Blood Runs Black,In Honor,Inventor211
As Blood Runs Black,Echoes Of An Era,Inventor211
As Blood Runs Black,Instinct,Inventor211
As Blood Runs Black ,Beautiful Mistake ,Inventor211 
As You Drown ,Driven By Hatred,Boo
Ascariasis,Ocean Of Colour,Xane60
Ascension ,Somewhere Back in Time,Inventor211
Asuka Sakai,A Crimson Rose and a Gin Tonic,Onyxite
At The Gates,Blinded By Fear,Grinnz
At The Gates,Slaughter of the Soul,Inventor211 
Atlantis Chronicles,Homoscene,Xane60
Atlantis Chronicles,The Odysseus,Xane60
Atlantis Chronicles,Within The Massive Stream,Xane60
Atlantis Chronicles,Back To Hadatopia,Xane60
Atlantis Chronicles,Flight Of The Manta,Xane60
Atlantis Chronicles,"I, Atlas",Xane60
Atlantis Chronicles,Otis Barton,Xane60
Atlantis Chronicles,"Upwelling, Pt. 1 ",Xane60
Atlantis Chronicles,"Upwelling, Pt. 2",Xane60
Atlantis Chronicles,50°S 100°W,Xane60
Atlantis Chronicles,A Modern Sailor's Countless Stories,Xane60
Atlantis Chronicles,We All Saw It Coming,Xane60
Atlantis Chronicles,A New Extinction,Xane60
Atlantis Chronicles,The Drowned And The Saved,Xane60
Atlantis Chronicles,Full Fathom Five,Xane60
Atlantis Chronicles,The End Is Near,Xane60
Atlantis Chronicles,Fatherless Nights Ahead,Xane60
Atlantis Chronicles,The Great Inscape,Xane60
Atlantis Chronicles,Ruins And Memories,Xane60
Atlantis Chronicles,Obsolete Bodies,Xane60
August Burns Red,Carol Of The Bells,SoundHaven
August Burns Red,What Child Is This,Xane60
August Burns Red,Internal Cannon,Xane60
August Burns Red,Mariana's Trench,Inventor211 
August Burns Red,Fault Line,Inventor211 
August Burns Red,Identity,Inventor211 
August Burns Red,Meddler,Inventor211 
August Burns Red,Invisible Enemy,Boo
August Burns Red,White Washed,Inventor211 
August Burns Red,Indonesia,Inventor211 
August Burns Red,Composure,Inventor211 
August Burns Red,An American Dream,SoundHaven
Avenged Sevenfold,Nightmare,Grinnz
Avenged Sevenfold,Beast and the Harlot,Onyxite
Avenged Sevenfold,Afterlife,Grinnz
Avenged Sevenfold,Almost Easy,Grinnz
Avenged Sevenfold,Bat Country,Grinnz
Avenged Sevenfold,Blinded In Chains,Grinnz
Avenged Sevenfold,The Wicked End,Xane60
Avenged Sevenfold,Save Me,Xane60
Avenged Sevenfold,M.I.A.,HopH20
Avenged Sevenfold,Betrayed,HopH20
Avenged Sevenfold,Burn It Down,HopH20
Avenged Sevenfold ,Critical Acclaim,HopH20
Avenged Sevenfold ,Unholy Confessions,HopH20
Avenged Sevenfold ,Strength of the World,HopH20
Avenged Sevenfold ,Sidewinder,HopH20
Avenged Sevenfold ,Trashed and Scattered,HopH20
Avenged Sevenfold ,Welcome to the Family,Boo
Avenged Sevenfold ,The Stage,Boo
Aversions Crown ,Erebus,Xane60
BABYMETAL,Megitsune,Onyxite
BABYMETAL,"Ijime, Dame, Zettai",Onyxite
Barricades at Night,Leave Them Fast,Xane60
Battles,Ice Cream (feat. Matias Aguayo),GanonMetroid
Battles ,My Machines (feat. Gary Numan),GanonMetroid
Behemoth,Conquer All,Grinnz
Behemoth,Sculpting the Throne ov Seth,Grinnz
Behemoth ,The Seed Ov I ,SoundHaven
Behemoth ,Wolves ov Siberia,RhythMassacre
Behemoth ,23 (The Youth Manifesto),RhythMassacre
Behemoth ,Ecclesia Diabolica Catholica,RhythMassacre
Behemoth ,God=Dog,RhythMassacre
Behemoth ,Havohej Pantocrator,RhythMassacre
Behemoth ,Inner Sanctum,RhythMassacre
Behemoth ,The Reign ov Shemsu-Hor,RhythMassacre
Behemoth ,The Satanist,RhythMassacre
Belphegor,Lucifer Incestus,Xane60
Belphegor,Baphomet,Xane60
Belphegor,Conjuring The Dead,Xane60
Beneath,Cities of the Outer Reaches,LillianOfficial 
Beneath,Ephemeris,LillianOfficial
Beneath,Eyecatcher,LillianOfficial
Beneath ,Amorphous Globe,LillianOfficial 
Beneath ,Guillotine,LillianOfficial
Beneath ,Multiangular,LillianOfficial
Beneath The Massacre,Unheard,SoundHaven
Beneath The Massacre,Treacherous,SoundHaven
Beneath The Massacre ,Rise of the Fearmonger,SoundHaven
Beneath The Massacre ,Absurd Hero,SoundHaven
Beneath The Massacre ,Autonomous Mind,SoundHaven
Beneath The Massacre ,Flickering Light,SoundHaven
Beneath The Massacre ,Hidden in Plain Sight,SoundHaven
Beneath The Massacre ,Of Gods and Machines,SoundHaven
Beneath The Massacre ,Return to Medusa,SoundHaven
Beneath The Massacre ,Bottom Feeders,SoundHaven
Beneath The Massacre ,Tarnished Legacy,SoundHaven
Benighted,Hush Little Baby/Reptilian,SoundHaven
Benighted,Martyr (Kevin Paradis Drum Playthrough),SoundHaven
Benighted,Forgive Me Father,Xane60
Benighted,Experience Your Flesh,Xane60
Benighted,Leatherface,Xane60
Benighted,Mass Grave,Xane60
Benighted,Necrobreed,Xane60
Benighted,Brutus (Kevin Paradis Drum Playthrough),Xane60
Benighted,Les Morsures Du Cerbere,Xane60
Benighted ,Smoke Through The Skull ,Xane60
Benighted ,A Quiet Day,Xane60
Benighted ,Slaughter Of The Soul [At The Gates],Xane60
Benighted ,Hostile,Xane60
Benighted ,Carnivore Sublime ,Xane60
Benighted ,Shadows Descend ,Xane60
Benighted ,Let The Blood Spill Between My Broken Teeth ,Xane60
Benighted ,Asylum Cave,Xane60
Benighted ,Prey,Xane60
Benighted ,Fritzl,Xane60
Benighted ,Unborn Infected Children,Xane60
Benighted ,The Cold Remains,Xane60
Benighted ,Swallow,Xane60
Benighted ,Lethal Merycism,Xane60
Benighted ,Drowning,Xane60
Benighted ,X2Y-Noise,Xane60
Benighted ,Defiled Purity,Xane60
Benighted ,"Slaughter, Suicide",Xane60
Benighted ,Spit,Xane60
Benighted ,Jekyll,Xane60
Benighted ,Collection Of Dead Portraits,Xane60
Benighted ,June And The Laconic Solstice,Xane60
Benighted ,Psychosilencer,Xane60
Benighted ,Der Doppelgaenger,Xane60
Benny Greb,Grebfruit (Live at vfJAMS),Onyxite
Benny Greb,I'm Tweeked/Attack of the 20 Lb. Pizza [Vinnie Colaiuta],Onyxite
Betraying The Martyrs,Liberate Me Ex Inferis/Martyrs (Mark Mironov Drum Playthrough) ,SoundHaven
Betraying The Martyrs,Man Made Disaster (Mark Mironov Drum Playthrough),SoundHaven
Between the Buried and Me,Ants Of The Sky,Grinnz
Between the Buried and Me,Astral Body,Grinnz
Between the Buried and Me,Augment of Rebirth,Grinnz
Between the Buried and Me,Automata I,Grinnz
Between the Buried and Me,Bad Habits,Grinnz
Between the Buried and Me,Bloom,Grinnz
Between the Buried and Me,Blot,Grinnz
Between the Buried and Me,Colors,Grinnz
Between the Buried and Me,Condemned to the Gallows,Grinnz
Between the Buried and Me,Desert Of Song,Grinnz
Between the Buried and Me,Dim Ignition,Grinnz
Between the Buried and Me,"Disease,Injury, Madness",Grinnz
Between the Buried and Me,Extremophile Elite,Grinnz
Between the Buried and Me,Famine Wolf,Grinnz
Between the Buried and Me,Fix the Error,Grinnz
Between the Buried and Me,Foam Born: The Backtrack/The Decade Of Statues,Grinnz
Between the Buried and Me,Fossil Genera - A Feed From Cloud Mountain,Grinnz
Between the Buried and Me,Glide,Grinnz
Between the Buried and Me,Gold Distance / Blot,Grinnz
Between the Buried and Me,House Organ,Grinnz
Between the Buried and Me,Informal Gluttony,Grinnz
Between the Buried and Me,King Redeem / Queen Serene,Grinnz
Between the Buried and Me,Lay Yours Ghosts To Rest,Grinnz
Between the Buried and Me,Life In Velvet,Grinnz
Between the Buried and Me,Lunar Wilderness,Grinnz
Between the Buried and Me,Melting City,Grinnz
Between the Buried and Me,Memory Palace,Grinnz
Between the Buried and Me,Millions,Grinnz
Between the Buried and Me,Mirrors,Grinnz
Between the Buried and Me,Monochrome,Grinnz
Between the Buried and Me,Mordecai,Grinnz
Between the Buried and Me,Never Seen / Future Shock,Grinnz
Between the Buried and Me,Node,Grinnz
Between the Buried and Me,Obfuscation,Grinnz
Between the Buried and Me,Option Oblivion,Grinnz
Between the Buried and Me,Prehistory,Grinnz
Between the Buried and Me,Prequel To The Sequel,Grinnz
Between the Buried and Me,Rapid Calm,Grinnz
Between the Buried and Me,Revolution in Limbo,Grinnz
Between the Buried and Me,Sfumato / Human is Hell (Another One with Love),Grinnz
Between the Buried and Me,Silent Flight Parliment / Goodbye to Everything Reprise,Grinnz
Between the Buried and Me,Specular Reflection,Grinnz
Between the Buried and Me,Stare Into the Abyss,Grinnz
Between the Buried and Me,Sun Of Nothing,Grinnz
Between the Buried and Me,Swim to the Moon,Grinnz
Between the Buried and Me,Telos,Grinnz
Between the Buried and Me,The Future is Behind Us,Grinnz
Between the Buried and Me,The Great Misdirect,Grinnz
Between the Buried and Me,Ad A Dglgmut,Xane60
Between the Buried and Me,Aesthetic,Xane60
Between the Buried and Me,Prequel To The Sequel (Blake Richardson Playthrough) ,TheCourtofaPorcupine
Between the Buried and Me,Bicycle Race [Queen],SoundHaven
Between the Buried and Me,Blackened [Metallica] ,SoundHaven
Between the Buried and Me,Bohemian Rhapsody [Queen] ,SoundHaven
Between the Buried and Me,Cemetary Gates [Pantera] ,SoundHaven
Between the Buried and Me,Change [Blind Melon],SoundHaven
Between the Buried and Me,Colorblind [Counting Crows] ,SoundHaven
Between the Buried and Me ,The Black Box,Grinnz
Between the Buried and Me ,The Coma Machine,Grinnz
Between the Buried and Me ,The Double Helix of Extinction,Grinnz
Between the Buried and Me ,The Ectopic Stroll,Grinnz
Between the Buried and Me ,The Grid,Grinnz
Between the Buried and Me ,The Parallax II: Future Sequence (Part 1),Grinnz
Between the Buried and Me ,The Parallax II: Future Sequence (Part 2),Grinnz
Between the Buried and Me ,The Parallax: Hypersleep Dialogues ,Grinnz
Between the Buried and Me ,The Proverbial Bellow,Grinnz
Between the Buried and Me ,Turbulent,Grinnz
Between the Buried and Me ,Turn On The Darkness,Grinnz
Between the Buried and Me ,Viridian / White Walls,Grinnz
Between the Buried and Me ,Voice Of Trespass,Grinnz
Between the Buried and Me ,White Walls,Grinnz
Between the Buried and Me ,Yellow Eyes,Grinnz
Between the Buried and Me ,Alaska,Xane60
Between the Buried and Me ,Croakies And Boatshoes,Xane60
Between the Buried and Me ,Destructo Spin,Xane60
Between the Buried and Me ,Forced March [Earth Crisis] ,SoundHaven
Between the Buried and Me ,Geek U.S.A. [The Smashing Pumpkins] ,SoundHaven
Between the Buried and Me ,Kickstart My Heart [Mötley Crüe] ,SoundHaven
Between the Buried and Me ,Little 15 [Depeche Mode] ,SoundHaven
Between the Buried and Me ,Malpractice [Faith No More] ,SoundHaven
